Year,Sport,Discipline,Event
2014,Biathlon,Biathlon,7.5KM
2010,Biathlon,Biathlon,7.5KM
2006,Biathlon,Biathlon,7.5KM
2002,Biathlon,Biathlon,7.5KM
1998,Biathlon,Biathlon,7.5KM
1994,Biathlon,Biathlon,7.5KM
1992,Biathlon,Biathlon,7.5KM
1924,Biathlon,Biathlon,Military Patrol
2014,Biathlon,Biathlon,Relay Mix
1928,Bobsleigh,Bobsleigh,Five-Man
2014,Bobsleigh,Bobsleigh,Four-Man
2010,Bobsleigh,Bobsleigh,Four-Man
2006,Bobsleigh,Bobsleigh,Four-Man
2002,Bobsleigh,Bobsleigh,Four-Man
1998,Bobsleigh,Bobsleigh,Four-Man
1994,Bobsleigh,Bobsleigh,Four-Man
1992,Bobsleigh,Bobsleigh,Four-Man
1988,Bobsleigh,Bobsleigh,Four-Man
1984,Bobsleigh,Bobsleigh,Four-Man
1980,Bobsleigh,Bobsleigh,Four-Man
1976,Bobsleigh,Bobsleigh,Four-Man
1972,Bobsleigh,Bobsleigh,Four-Man
1968,Bobsleigh,Bobsleigh,Four-Man
1964,Bobsleigh,Bobsleigh,Four-Man
1956,Bobsleigh,Bobsleigh,Four-Man
1952,Bobsleigh,Bobsleigh,Four-Man
1948,Bobsleigh,Bobsleigh,Four-Man
1936,Bobsleigh,Bobsleigh,Four-Man
1932,Bobsleigh,Bobsleigh,Four-Man
1924,Bobsleigh,Bobsleigh,Four-Man
2014,Bobsleigh,Bobsleigh,Two-Man
2010,Bobsleigh,Bobsleigh,Two-Man
2006,Bobsleigh,Bobsleigh,Two-Man
2002,Bobsleigh,Bobsleigh,Two-Man
1998,Bobsleigh,Bobsleigh,Two-Man
1994,Bobsleigh,Bobsleigh,Two-Man
1992,Bobsleigh,Bobsleigh,Two-Man
1988,Bobsleigh,Bobsleigh,Two-Man
1984,Bobsleigh,Bobsleigh,Two-Man
1980,Bobsleigh,Bobsleigh,Two-Man
1976,Bobsleigh,Bobsleigh,Two-Man
1972,Bobsleigh,Bobsleigh,Two-Man
1968,Bobsleigh,Bobsleigh,Two-Man
1964,Bobsleigh,Bobsleigh,Two-Man
1956,Bobsleigh,Bobsleigh,Two-Man
1952,Bobsleigh,Bobsleigh,Two-Man
1948,Bobsleigh,Bobsleigh,Two-Man
1936,Bobsleigh,Bobsleigh,Two-Man
1932,Bobsleigh,Bobsleigh,Two-Man
2014,Bobsleigh,Bobsleigh,Two-Woman
2014,Bobsleigh,Skeleton,Individual
2010,Bobsleigh,Skeleton,Individual
2006,Bobsleigh,Skeleton,Individual
2002,Bobsleigh,Skeleton,Individual
1948,Bobsleigh,Skeleton,Individual
1928,Bobsleigh,Skeleton,Individual
2014,Curling,Curling,Curling
2010,Curling,Curling,Curling
2006,Curling,Curling,Curling
2002,Curling,Curling,Curling
1998,Curling,Curling,Curling
1924,Curling,Curling,Curling
2014,Ice Hockey,Ice Hockey,Ice Hockey
2010,Ice Hockey,Ice Hockey,Ice Hockey
2006,Ice Hockey,Ice Hockey,Ice Hockey
2002,Ice Hockey,Ice Hockey,Ice Hockey
1998,Ice Hockey,Ice Hockey,Ice Hockey
1994,Ice Hockey,Ice Hockey,Ice Hockey
1992,Ice Hockey,Ice Hockey,Ice Hockey
1988,Ice Hockey,Ice Hockey,Ice Hockey
1984,Ice Hockey,Ice Hockey,Ice Hockey
1980,Ice Hockey,Ice Hockey,Ice Hockey
1976,Ice Hockey,Ice Hockey,Ice Hockey
1972,Ice Hockey,Ice Hockey,Ice Hockey
1968,Ice Hockey,Ice Hockey,Ice Hockey
